CustomerID,Gender,Age,Married,NumberofDependents,City,ZipCode,Population,NumberofReferrals,TenureinMonths,Offer,PhoneService,AvgMonthlyLongDistanceCharges,MultipleLines,InternetService,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRevenue,Churn,ChurnCategory,ChurnReason,predictions,pred_probabilities
9391-EOYLI,1,77,1,0,Lewiston,96052,1845,1,12,Offer D,1,6.97,No,1,Fiber Optic,19.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,80.45,950.2,0.0,0,83.64,1033.84,1,Competitor,Competitor made better offer,1,0.9935456
6861-XWTWQ,1,71,1,0,Napa,94559,26894,1,7,None,1,42.92,Yes,1,Fiber Optic,2.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,1,Bank Withdrawal,99.25,665.45,0.0,0,300.44,965.89,1,Attitude,Attitude of support person,1,0.9935389
1624-NALOJ,1,75,0,0,North Hollywood,91605,57146,0,5,None,1,36.36,Yes,1,Fiber Optic,12.0,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,89.8,502.6,0.0,0,181.8,684.4,1,Other,Moved,1,0.993439
3765-JXVKY,0,23,0,0,Paynes Creek,96075,433,0,1,Offer E,1,44.11,No,1,Fiber Optic,69.0,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,1,Bank Withdrawal,74.7,74.7,0.0,0,44.11,118.81,1,Competitor,Competitor offered more data,1,0.99319106
0679-IDSTG,0,73,1,0,Branscomb,95417,176,1,1,None,1,37.3,No,1,Fiber Optic,8.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,69.25,69.25,0.0,0,37.3,106.55,1,Competitor,Competitor had better devices,1,0.99316746
5797-APWZC,0,41,0,0,San Francisco,94105,2066,0,1,Offer E,1,31.68,No,1,Fiber Optic,22.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,0,Bank Withdrawal,90.6,90.6,0.0,0,31.68,122.28,1,Competitor,Competitor offered higher download speeds,1,0.99312663
8058-JMEQO,0,76,0,0,San Diego,92121,4258,0,9,Offer E,1,12.91,Yes,1,Fiber Optic,21.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,84.45,762.5,0.0,0,116.19,878.69,1,Competitor,Competitor made better offer,1,0.99297005
0722-TROQR,0,68,0,0,Davis,95616,67411,0,4,None,1,26.23,Yes,1,Fiber Optic,29.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,74.9,321.75,0.0,0,104.92,426.67,1,Price,Lack of affordable download/upload speed,1,0.9924325
0023-HGHWL,1,67,0,0,Morgan Hill,95037,41707,0,1,None,0,0.0,Unknown,1,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,1,Competitor,Competitor made better offer,1,0.99217963
1363-TXLSL,1,80,1,0,San Lucas,93954,521,0,1,Offer E,1,39.1,No,1,Fiber Optic,27.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,70.3,70.3,0.0,0,39.1,109.4,1,Competitor,Competitor had better devices,1,0.9921044
1184-PJVDB,1,38,1,0,Amador City,95601,222,1,10,None,1,11.3,No,1,Fiber Optic,4.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,1,Bank Withdrawal,79.95,857.2,0.0,0,113.0,970.2,1,Competitor,Competitor had better devices,1,0.99195343
9465-RWMXL,1,62,1,0,San Diego,92126,74232,1,32,Offer C,1,22.57,Yes,1,Fiber Optic,11.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,78.9,2447.95,0.0,0,722.24,3170.19,1,Competitor,Competitor made better offer,1,0.991911
7206-GZCDC,0,75,0,0,Loleta,95551,1447,0,1,Offer E,1,29.68,No,1,Cable,18.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,69.25,69.25,0.0,0,29.68,98.93,1,Attitude,Attitude of support person,1,0.9917848
9253-QXKBE,1,73,1,0,Morgan Hill,95037,41707,1,29,None,1,6.25,Yes,1,Fiber Optic,21.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,94.45,2653.65,0.0,0,181.25,2834.9,1,Competitor,Competitor had better devices,1,0.991608
8051-HJRLT,0,72,0,0,Wrightwood,92397,4253,0,1,Offer E,1,18.2,No,1,Fiber Optic,13.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,70.55,70.55,0.0,0,18.2,88.75,1,Attitude,Attitude of service provider,1,0.9914532
2865-TCHJW,0,74,0,0,Anaheim,92807,36301,0,4,None,1,48.35,Yes,1,Cable,24.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,1,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,1,Competitor,Competitor had better devices,1,0.99123853
3793-MMFUH,0,73,0,0,Davis,95618,648,0,13,None,1,19.03,Yes,1,Fiber Optic,24.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,1,Bank Withdrawal,95.05,1290.0,0.0,0,247.39,1537.39,1,Competitor,Competitor made better offer,1,0.990729
5949-XIKAE,0,32,1,0,San Bernardino,92401,1779,1,8,None,1,32.32,No,1,Cable,25.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,1,Bank Withdrawal,83.55,680.05,0.0,0,258.56,938.61,1,Dissatisfaction,Product dissatisfaction,1,0.9905059
8063-GBATB,0,74,0,0,Cobb,95426,1591,0,27,None,1,31.17,Yes,1,Fiber Optic,25.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,1,Bank Withdrawal,85.25,2287.25,0.0,0,841.59,3128.84,1,Competitor,Competitor had better devices,1,0.9902113
3746-EUBYR,1,63,1,0,Fallbrook,92028,42239,1,1,Offer E,1,44.73,Yes,1,Fiber Optic,3.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,74.6,74.6,0.0,0,44.73,119.33,1,Competitor,Competitor made better offer,1,0.99019545
2845-AFFTX,1,78,1,0,Westport,95488,309,0,41,None,1,22.56,Yes,1,Fiber Optic,15.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,99.8,4259.3,8.88,0,924.96,5175.38,1,Dissatisfaction,Product dissatisfaction,1,0.9901299
6029-WTIPC,1,73,0,0,San Diego,92109,46086,0,37,Offer C,1,38.06,Yes,1,Fiber Optic,19.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,101.1,3744.05,0.0,0,1408.22,5152.27,1,Competitor,Competitor made better offer,1,0.9899041
4210-QFJMF,0,41,0,0,Fallbrook,92028,42239,0,4,Offer E,1,36.91,No,1,Fiber Optic,23.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,1,Bank Withdrawal,79.15,317.25,0.0,0,147.64,464.89,1,Competitor,Competitor made better offer,1,0.98985577
1062-LHZOD,1,49,1,0,San Diego,92121,4258,0,1,None,1,4.99,No,1,Fiber Optic,28.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Mailed Check,69.9,69.9,0.0,0,4.99,74.89,1,Competitor,Competitor made better offer,1,0.9892302
9221-OTIVJ,0,80,0,0,Dunlap,93621,506,0,14,None,1,29.96,Yes,1,Fiber Optic,7.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,104.85,1531.4,0.0,0,419.44,1950.84,1,Dissatisfaction,Product dissatisfaction,1,0.988971
4102-OQUPX,1,67,1,0,Sheep Ranch,95250,88,1,1,None,1,17.36,Yes,1,Fiber Optic,29.0,No,No,No,No,No,No,No,No,Month-to-Month,1,Bank Withdrawal,74.4,74.4,0.0,30,17.36,121.76,1,Competitor,Competitor made better offer,1,0.9884958
8375-DKEBR,0,72,0,0,Hermosa Beach,90254,18693,0,1,Offer E,1,34.51,No,1,Fiber Optic,15.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,69.6,69.6,0.0,0,34.51,104.11,1,Competitor,Competitor had better devices,1,0.98740166
7780-OTDSO,1,51,1,0,Covelo,95428,2296,1,18,None,1,11.3,Yes,1,Fiber Optic,16.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,1,Bank Withdrawal,99.4,1742.95,0.0,0,203.4,1946.35,1,Attitude,Attitude of support person,1,0.9873338
3249-ZPQRG,1,28,0,0,Diamond Springs,95619,4426,0,4,Offer E,1,42.06,Yes,1,Fiber Optic,58.0,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,0,Bank Withdrawal,78.45,330.05,0.0,0,168.24,498.29,1,Competitor,Competitor made better offer,1,0.987298
6127-ISGTU,0,34,1,0,Garden Valley,95633,2536,1,16,None,1,6.82,Yes,1,Fiber Optic,7.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,1,Bank Withdrawal,84.95,1378.25,0.0,0,109.12,1487.37,1,Attitude,Attitude of support person,1,0.987028
4433-JCGCG,1,80,1,0,San Diego,92129,47224,1,46,Offer B,1,5.36,Yes,1,Fiber Optic,22.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,101.0,4680.05,0.0,0,246.56,4926.61,1,Competitor,Competitor made better offer,1,0.986865
5482-PLVPE,0,79,0,0,Daly City,94014,47453,0,2,None,0,0.0,Unknown,1,DSL,11.0,No,No,No,No,No,No,No,Yes,Month-to-Month,0,Bank Withdrawal,24.35,41.85,0.0,0,0.0,41.85,1,Competitor,Competitor had better devices,1,0.9866425
3211-ILJTT,1,35,1,0,Taft,93268,14937,1,17,None,1,13.68,No,1,Fiber Optic,11.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,70.4,1214.05,0.0,0,232.56,1446.61,1,Competitor,Competitor had better devices,1,0.986535
5240-IJOQT,1,69,0,0,Grass Valley,95949,17922,0,1,None,1,11.34,Yes,1,Fiber Optic,20.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,74.7,74.7,0.0,0,11.34,86.04,1,Competitor,Competitor had better devices,1,0.98651516
3217-FZDMN,0,66,0,0,Los Angeles,90001,54492,0,8,Offer E,1,5.21,No,1,Fiber Optic,8.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,1,Credit Card,94.45,742.95,0.0,0,41.68,784.63,1,Competitor,Competitor had better devices,1,0.9864145
7908-QCBCA,0,47,1,0,Atwater,95301,27808,1,1,Offer E,1,33.46,No,1,Fiber Optic,12.0,No,No,No,No,No,No,No,No,Month-to-Month,1,Mailed Check,69.4,69.4,0.0,10,33.46,112.86,1,Competitor,Competitor had better devices,1,0.98618025
0702-PGIBZ,1,28,0,0,Dutch Flat,95714,350,0,4,Offer E,1,26.16,Yes,1,Fiber Optic,85.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,1,Bank Withdrawal,101.7,364.55,1.48,0,104.64,467.71,1,Competitor,Competitor made better offer,1,0.98606944
0637-KVDLV,1,30,0,0,Elk Grove,95758,47065,0,2,Offer E,1,17.22,Yes,1,Fiber Optic,30.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,76.5,162.45,0.0,0,34.44,196.89,1,Other,Don't know,1,0.98589325
3307-TLCUD,1,36,1,0,Los Angeles,90001,54492,1,17,None,0,0.0,Unknown,1,Cable,10.0,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,0,Mailed Check,34.4,592.75,0.0,0,0.0,592.75,0,Unknown,Unknown,1,0.9854246
1866-RZZQS,1,77,0,0,Redlands,92373,31230,0,41,Offer B,1,42.06,Yes,1,Fiber Optic,21.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,98.4,4187.75,0.0,0,1724.46,5912.21,1,Competitor,Competitor had better devices,1,0.9851473
8017-LXHFA,0,77,0,0,San Diego,92130,28201,0,23,Offer D,1,31.17,No,1,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,94.75,2293.6,0.0,0,716.91,3010.51,1,Competitor,Competitor made better offer,1,0.9847755
2642-DTVCO,1,68,0,0,Chualar,93925,1140,0,9,Offer E,1,12.18,Yes,1,Fiber Optic,6.0,No,No,No,No,No,Yes,No,No,Month-to-Month,1,Bank Withdrawal,85.05,746.5,0.0,30,109.62,886.12,1,Attitude,Attitude of service provider,1,0.9846334
1396-QWFBJ,0,32,1,0,Rancho Santa Margarita,92688,42193,1,21,None,1,5.07,No,1,Fiber Optic,26.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,74.05,1565.7,0.0,0,106.47,1672.17,1,Dissatisfaction,Lack of self-service on Website,1,0.9843813
6393-WRYZE,0,35,1,0,Bridgeville,95526,695,1,34,None,1,43.33,Yes,1,Fiber Optic,16.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,1,Bank Withdrawal,97.65,3207.55,0.0,0,1473.22,4680.77,1,Other,Don't know,1,0.9841494
8083-YTZES,1,52,0,0,San Diego,92113,47431,0,4,None,1,47.82,Yes,1,Fiber Optic,13.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,74.35,265.35,0.0,0,191.28,456.63,1,Attitude,Attitude of support person,1,0.9840365
0388-EOPEX,0,28,1,0,Riverside,92503,71678,1,2,None,1,9.79,No,1,Fiber Optic,41.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,74.4,139.4,0.0,0,19.58,158.98,1,Attitude,Attitude of support person,1,0.9837984
5099-BAILX,1,77,1,0,Santa Barbara,93101,31727,1,43,Offer B,1,14.52,Yes,1,Fiber Optic,5.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.26,1,Competitor,Competitor made better offer,1,0.9833345
2272-QAGFO,0,75,0,0,Inglewood,90304,28680,0,14,None,1,35.07,Yes,1,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,74.3,1096.25,0.0,0,490.98,1587.23,1,Dissatisfaction,Service dissatisfaction,1,0.98324317
3387-VATUS,1,44,0,0,Aromas,95004,3373,0,5,Offer E,1,40.15,Yes,1,Fiber Optic,19.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,1,Bank Withdrawal,94.85,462.8,0.0,0,200.75,663.55,1,Attitude,Attitude of service provider,1,0.9831632
0746-JTRFU,1,22,0,0,Kingsburg,93631,14088,0,2,Offer E,0,0.0,Unknown,1,Cable,73.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,1,Bank Withdrawal,25.05,56.35,0.0,0,0.0,56.35,1,Dissatisfaction,Product dissatisfaction,1,0.9828757
9279-CJEOJ,0,77,0,0,Anaheim,92801,60553,0,21,None,1,37.4,Yes,1,Fiber Optic,16.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,95.4,2025.1,0.0,0,785.4,2810.5,0,Unknown,Unknown,1,0.9825231
9430-FRQOC,0,33,0,0,San Diego,92117,51213,0,4,None,1,32.46,Yes,1,Fiber Optic,3.0,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,1,Mailed Check,87.1,341.45,0.0,0,129.84,471.29,1,Competitor,Competitor made better offer,1,0.982508
4713-LZDRV,0,80,0,0,Malibu,90263,11,0,2,Offer E,1,31.91,No,1,Cable,30.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,79.6,195.05,0.0,0,63.82,258.87,1,Price,Long distance charges,1,0.98249626
9685-WKZGT,1,67,0,0,Carmichael,95608,58830,0,14,Offer D,1,16.32,Yes,1,Fiber Optic,11.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,74.95,1036.75,39.29,0,228.48,1225.94,1,Price,Extra data charges,1,0.982454
2514-GINMM,1,60,0,0,Dana Point,92629,27730,0,1,Offer E,1,48.97,No,1,Fiber Optic,23.0,No,No,No,No,Yes,No,No,No,Month-to-Month,1,Bank Withdrawal,79.5,79.5,0.0,0,48.97,128.47,1,Attitude,Attitude of service provider,1,0.98191375
8695-ARGXZ,1,66,1,0,Fresno,93722,60889,1,34,None,1,2.07,Yes,1,Fiber Optic,16.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,75.55,2425.4,0.0,0,70.38,2495.78,0,Unknown,Unknown,1,0.9818423
4927-WWOOZ,1,39,1,0,Pacific Grove,93950,15449,0,2,None,1,49.41,Yes,1,Fiber Optic,20.0,No,No,Yes,No,Yes,No,No,No,Month-to-Month,1,Bank Withdrawal,91.45,171.45,0.0,10,98.82,280.27,0,Unknown,Unknown,1,0.98166543
6688-UZPWD,0,36,1,0,Palm Springs,92262,24924,1,11,None,1,7.89,Yes,1,Fiber Optic,10.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,1,Bank Withdrawal,102.0,1145.35,0.0,0,86.79,1232.14,1,Competitor,Competitor offered more data,1,0.9815639
5043-TRZWM,0,32,0,0,Los Angeles,90022,68701,0,1,None,1,7.11,No,1,Fiber Optic,26.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,0,Bank Withdrawal,75.55,75.55,0.0,0,7.11,82.66,0,Unknown,Unknown,1,0.98150015
6618-RYATB,0,56,0,0,North Hollywood,91605,57146,0,1,Offer E,1,5.1,Yes,1,Fiber Optic,10.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,1,Credit Card,79.55,79.55,0.0,0,5.1,84.65,1,Price,Price too high,1,0.9813788
0107-YHINA,1,59,0,0,Los Angeles,90062,29299,0,1,None,1,40.71,Yes,1,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,1,Bank Withdrawal,99.75,99.75,0.0,0,40.71,140.46,1,Competitor,Competitor had better devices,1,0.98095405
8382-SHQEH,0,58,1,0,Rancho Cucamonga,91739,12937,1,8,None,1,29.0,Yes,1,Fiber Optic,30.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,1,Bank Withdrawal,84.9,764.95,0.0,0,232.0,996.95,1,Price,Long distance charges,1,0.98042876
2034-CGRHZ,1,73,0,0,San Francisco,94104,384,0,24,None,1,3.23,Yes,1,Fiber Optic,26.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,1,Credit Card,102.95,2496.7,0.0,0,77.52,2574.22,1,Attitude,Attitude of support person,1,0.98035794
3428-XZMAZ,1,64,0,0,Turlock,95382,24708,0,1,None,1,45.86,No,1,Fiber Optic,27.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,69.35,69.35,0.0,0,45.86,115.21,1,Price,Long distance charges,1,0.98035204
0334-GDDSO,1,77,0,0,San Diego,92122,34902,0,3,Offer E,1,9.22,Yes,1,Fiber Optic,14.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,81.35,233.7,0.0,0,27.66,261.36,1,Competitor,Competitor made better offer,1,0.9802593
8436-BJUMM,1,62,1,0,Albany,94706,15882,1,26,Offer C,1,35.9,Yes,1,Cable,26.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,1,Bank Withdrawal,83.75,2070.6,0.0,0,933.4,3004.0,1,Competitor,Competitor offered higher download speeds,1,0.98002464
4021-RQSNY,1,75,1,0,Moreno Valley,92555,12743,1,29,None,1,25.78,Yes,1,Fiber Optic,28.0,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,1,Bank Withdrawal,98.5,3004.15,37.55,40,747.62,3754.22,1,Attitude,Attitude of service provider,1,0.97963184
3722-WPXTK,1,23,0,0,Benton,93512,340,0,1,None,1,14.26,No,1,Fiber Optic,46.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,1,Bank Withdrawal,88.35,88.35,0.0,0,14.26,102.61,1,Competitor,Competitor offered higher download speeds,1,0.97942036
